title,description,place,tags,frequency,heurPrincip,severity,evaluator,ofProject
Randy Hoback,randy c hoback born december 19 1967 in prince albert saskatchewan is a canadian politician who was elected to represent the electoral district of prince albert in the 2008 canadian federal election he is a member of the conservative party he was subsequently reelected in the 2011 federal election with 622 of the votehoback has a business administration certificate from the university of saskatchewan and chartered directors designation from mcmaster university and the conference board of canadahoback worked for farm machinery manufacturer flexicoil and later case new holland from 1986 to 2000 when he purchased the family farm in 2000 he subsequently expanded the farm to 3300 acres 13 km2 as well as developing custom spraying and trucking business he was nominated for the saskatchewan outstanding young farmer award in 2005hoback served chairman of the western canadian wheat growers association wcwga and represented them at world trade organization meetings in geneva and hong kongas an mp hoback was a member of the standing committee on procedure and house affairs and is a member of the standing committee on agriculture and agrifood and the standing committee on finance on oct 16 2013 he became chair of the standing committee on international trade hoback is married with two children,Randy Hoback,Randy Hoback,3,5,1,user6,p2
Kat DeLuna,kathleen kat emperatriz deluna born november 26 1987 is an american rb singersongwriter recording artist and dancer born in the bronx to dominican parents deluna began pursuing a career as a singer when she was a teenager after signing with epic records she released her debut single whine up in 2007 the single went on to become a commercial success entering the top 40 in numerous countries and topping the billboard hot dance club play chart her debut studio album 9 lives 2007 failed to see the success of its lead single the albums third single run the show became a hit in various territories and reached number two on the hot dance club play chartfollowing the commercial performance of her first album deluna was dropped from epic records deluna continued to record both collaborations and soundtrack singles deluna later began working on her second studio album inside out 2010 which received a limited release through universal music belgium the album spawned a number of singles notably unstoppable push push and dancing tonight featuring lil wayne akon and fo onassis respectively viva the north american edition of the album was slated to be released later that year however this never materialized deluna is currently working on her third studio album slated to be released in 2014in 2007 deluna won best new artist at the los premios mtv latinoamrica 2007 awards in 2008 she won best new artist and best urban artist at the tmf awards delunas single whine up won the award for latin dance club play track of the year at the 2008 latin billboard music awards she also won a casandra award in 2008 for best international artist,Kat DeLuna,Kat DeLuna,5,10,1,user2,p2
Ben Goertzel,ben goertzel born december 8 1966 in rio de janeiro brazil is chief scientist of financial prediction firm aidyia holdings chairman of ai software company novamente llc which is a privately held software company and bioinformatics company biomind llc which is a company that provides advanced ai for bioinformatic data analysis especially microarray and snp data chairman of the artificial general intelligence society and the opencog foundation vice chairman of futurist nonprofit humanity scientific advisor of biopharma firm genescient corp advisor to the singularity university research professor in the fujian key lab for brainlike intelligent systems at xiamen university china and general chair of the artificial general intelligence conference series an american author and researcher in the field of artificial intelligence he is an advisor to the machine intelligence research institute formerly the singularity institute and formerly its director of researchgoertzel is the son of ted goertzel a professor of sociology at rutgers university he left high school after the tenth grade to attend bard college at simons rock where he graduated with a bachelors degree in quantitative studies goertzel went on to obtain a phd in mathematics from temple university in 1989 before entering the software industry he served as a university faculty in several departments of mathematics computer science and cognitive science including the university of nevada city university of new york the university of waikato and the university of western australia presently he spends most of his time at a residence in the new territories of hong konghis research work encompasses artificial general intelligence natural language processing cognitive science data mining machine learning computational finance bioinformatics virtual worlds and gaming and other areas he has published a dozen scientific books 100 technical papers and numerous journalistic articleshe actively promotes the opencog project that he cofounded which aims to build an open source artificial general intelligence engine he is focused on creating benevolent superhuman artificial general intelligence and applying ai to areas like financial prediction bioinformatics robotics and gaming,Ben Goertzel,Ben Goertzel,5,4,4,user5,p2
Jonathan Burrows,jonathan burrows is a british choreographer he started his career as a soloist with the royal ballet in london but formed the jonathan burrows group in 1988 to present his own workthe company travelled widely and gained an international reputation with pieces such as stoics 1991 very 1992 our 1994 the stop quartet 1996 and things i dont know 1997since 2000 burrows has worked with other performers notably nondancers in 2001 he presented weak dance strong questions 2001 a collaboration with the dutch theatre director jan ritsema this was followed with the trilogy both sitting duet 2002 the quiet dance 2005 and speaking dance 2006 with the italian composer and longtime collaborator matteo fargionother high profile collaborators include sylvie guillems performance of his choreography in adam roberts film blue yellow in 1996 and his invitation in 1997 to choreograph for william forsythes ballet frankfurtin 2003 burrows and matteo fargion received the 20032004 new york dance and performance bessie awards for both sitting duetburrows has commented that it is sometimes difficult making dance in his home country of britain and that in europe he finds a much more appreciative and openminded dance and theatre industryburrows has devoted fanbase among the mostly young dance incrowdhe currently lives in london and brussels,Jonathan Burrows,Jonathan Burrows,4,10,5,user1,p2
Scott Kauffman,scott l kauffman born 1956 is an american business managerhe was born in princeton new jersey to ellwood and shirley kauffman and grew up with his sister jane and brothers geoffrey and matthew in 1973 he appeared briefly in steven e de souzas first film arnolds wrecking cokauffman has worked for a variety of media companies newsweek was the first and then time warner in the founding of entertainment weeklyhis next job was as a vicepresident of compuserve where he worked on all of the online brands and pioneered sprynet compuserves isp service with help from goldman sachs kauffman participated in the development of one of the first initial public offerings of the internet industry he left compuserve in 1997 to become president and ceo of clickover a company focused on developing management solutions for internet advertising clickover later became adknowledge after acquiring focalinkbefore scott left adknowledge and the company was sold to cmgi adknowledge grew to over 80 employees and more than 100 customers kauffman then spent time in turn with ecoverage a directtoconsumer online insurance company coremetrics and as president and ceo musicnow an online music service partnered with fullaudio in 2005 he ran the san franciscobased digitalmagazine service provider zinioscott holds an ab in english from vassar college and an mba in marketing from new york universitys graduate school of business in july 1992 advertising age named him one of the top 100 marketers in the country and in 1996 he was named by advertising age as one of twenty digital media mastersin 2006 scott was named president and chief operating officer of bluelithium on december 4 2008 he was named chief executive officer of sourceforge inc now geeknet owner and operator of sourceforgenet thinkgeek slashdot freshmeat now freecode and at the time ohlohscott resides in palo alto california with his wife nanci son stephen and daughter sarah,Scott Kauffman,Scott Kauffman,1,4,3, user3,p2
Mike Williams (trumpeter),mike williams is an american jazz and big band trumpeter residing in lapeer michigan he is most noted as the lead trumpeter for the count basie orchestra an esteemed chair which he has held without interruption for more than 21 years mike can be heard on numerous count basie orchestra recordings some of them grammy award winners including the recent basie is back recorded live in japan and the grammy nominated ray sings basie swings on which he was a featured soloist as a member of the basie band he has performed in all 50 states and 40 countries with such notable names as dizzy gillespie billy eckstine frank sinatra ella fitzgerald sarah vaughan george benson tony bennett and diane schuur mike is a native of shreveport louisiana he attended the university of north texas college of music where he studied with noted trumpeter don jacoby and was a member of the famous one oclock lab band in addition to touring and recording with count basie he also performs and records with other noted jazz groups including charles tolliver big bandmike also played trumpet for several years with the 156th army band part of the louisiana army national guard based in bossier city louisiana under the direction of dr douglas peterson,Mike Williams (trumpeter),Mike Williams (trumpeter),5,4,1,user6,p2
John R. Dilworth,jonathan john robert dilworth born february 14 1963 aka dilly is an american animator director and actor he is best known as the producer director writer and creator of the animated television series courage the cowardly dog dilworth attended the school of visual arts in new york where he graduated in 1985 with a bachelor of arts after graduation dilworth became an art director at baldi bloom and whelan advertising but continued to work on his own films in his spare time providing much of his own funding his animated short the chicken from outer space was nominated for an academy award in 1996 cartoon network later commissioned dilworth to turn the short into a series which eventually became the wildly popular and critically acclaimed courage the cowardly dog dilworth is the president of stretch films a new yorkbased design and animation studio which he founded in 1991 he also worked on the original opening for nicktoons and for the show dougdilworths short angry cabaret was also featured in mtvs 1994 animation weekend his breakout film was the dirdy birdy which aired on mtvs cartoon sushi he was animation consultant of gumby the movie dilworth appears in pixilation sequences in the 2013 animated short subconscious password by chris landrethdilworth is heavily influenced by bob clampett his film life in transition was included in the animation show of shows,John R. Dilworth,John R. Dilworth,5,2,2,user2,p2
Mim Scala,emilio mim scala was the cofounder with sir william piggott browne of the london based television film and theatrical agency scala browne agencyits clients included richard harris and its film production credits included bringing together jeanluc godard with the rolling stones for the production of one plus oneborn in london in 1940 mim scala went to school at st augustins hammersmith and chelsea art school at manresa rd chelsea he grew up in the northend road fulham before moving to the kings road he then travelled extensively before settling down to work as a theatrical agent in 1963 he founded the theatrical agency scala browne associates with sir william piggottbrown the agency was known for representing actors directors and musicians including richard harris cat stevens benito caruthers and jim browne mim scala also packaged the film sympathy for the devilone plus one with jeanluc godard and the rolling stones after an introduction and recommendation to the then rights holder for goddard heleni collard by alan callanin the late sixties mim took off to live in the moroccan sahara spain sri lanka and switzerland painting and recording ethnic music including the dervish ganoua sect from tangiers he returned to england in 1972 to work as head of promotion for island records mim produced the first direct to disk album for the band warsaw pakt before founding esp music and management an agency which represented record producers chris kimsey rolling stones stuart levine simply red and bb kingmim moved to county carlow in 1987 to write paint and fish,Mim Scala,Mim Scala,3,5,2,user6,p2
Llwyd Owen,llwyd owen is an awardwinning welshlanguage fiction author born in cardiff in 1977 he lives in cardiff with his wife and daughters and works as a translator when not writing fiction as well as publishing 6 acclaimed welsh language novels and one english language adaptation he is also a published poet and photographer who presented his own television documentary on s4c on the cardiff art scene in 2008his first novel ffawd cywilydd a chelwyddau fate shame lies was published by y lolfa in march 2006 and his second ffydd gobaith cariad faith hope love in november 2006 ffawd cywilydd a chelwyddau was described by the judges of the national eisteddfod of wales daniel owen memorial prize as close to genius but was not awarded the prize critics have said that it goes beyond normal and safe publishing boundaries because of its disturbing content swearing and slang which is uncommon in welshlanguage literature publication of the book was delayed for a year due to its controversial natureffydd gobaith cariad won the 2007 welsh language book of the year awardhis third novel yr ergyd olaf the last hit was published in november 2007 and was longlisted for the 2008 welsh language book of the year awardhis fourth novel mr blaidd mr wolf was published by y lolfa in october 2009an englishlanguage version of ffydd gobaith cariad faith hope love adapted by the author himself was published in may 2010 by alcemi and garnered favourable reviews with suzy ceulan hughes calling it deftly plotted and pitchperfect in its pacing new welsh review time out magazine praising it as an absorbing fable enjoyable and pacey providing a thoughtful take on what it means to be alive and how suffering can control and overwhelm you and the south wales argus claiming the author to be wales answer to irvine welshhis fifth novel un ddinas dau fyd one city two worlds was published in march 2011 and his sixth heulfan conservatory in november 2012his second english language novel the last hit an adaptation of his third welsh language novel yr ergyd olaf will be published in march 2013,Llwyd Owen,Llwyd Owen,4,10,1,user4,p2
Jean-Louis Bourgeois,jeanlouis bourgeois born 1940 is an author and the son of artist louise bourgeois and art historian robert goldwater bourgeois studied literature and architectural history at harvard university where for an essay on labyrinths he won the bowdoin prize won in 1820 and 1821 by ralph waldo emerson in 1969 and 1970 bourgeois worked at artforum before becoming an expert in the production and history of mud brick architecture he is the author of the volume spectacular vernacular the adobe tradition with photographs taken by his late wife carollee pelos which established him as one of the foremost experts in the world on the subject he owns a home in djenne mali and has actively been involved in architectural conservation efforts there including the preservation of the worlds largest adobe building the great mosque of djenne and has written extensively on the subject while living in djenn bourgeois opposed the talo dam project and became a fixture in the citys cultural life bourgeois has been adopted by the reigning king of djenne as a son he appeared in the biopic on his mother louise bourgeois the spider the mistress and the tangerine bourgeois owns an adobe house in taos new mexico and has written on the southwestern american indian adobe tradition,Jean-Louis Bourgeois,Jean-Louis Bourgeois,3,2,5, user3,p2
Wilma Kucharek,the rev wilma s kucharek born 1954 is bishop of the slovak zion synodbishop kucharek was born september 19 1954 in johnson city new york and baptized in the slovak language at ascension lutheran in binghamton new york she graduated from valparaiso university valparaiso in and earned her mdiv and stm degrees at the lutheran theological seminary at gettysburg pabefore her ordination as a pastor sister kucharek was consecrated as a deaconess serving parishes in indiana and new york she served as pastor of holy emmanuel lutheran church mahanoy city pa from 1982 to 1986 st john lutheran church st clair pa from 1982 to 1986 and st john lutheran church nanticoke pa from 1983 to 1986kucharek was elected to a 6year term as bishop of the slovak zion synod of the evangelical lutheran church in america on 22 june 2002 succeeding the rev juan obrda and reelected again on 28 june 2008 kucharek is the first woman bishop of slovak descentbishop kucharek served on the board of the elcas division for global mission for 5 years and as its secretary from 2001 to 2002 when she resigned to accept a call as bishop in 2000 she was one five in a national council of churches ecumenical delegation of women to north korea among other ex officio offices kucharek holds she is on the board of trustees of muhlenberg collegebishop kucharek is married to the rev dr thomas j drobena together they have been copastors at holy trinity lutheran church torrington connecticut since 1986 she and rev drobena are coauthors of the book heritage of the slavs and translators of evangelical churches in slovakia as well as authoring numerous other works and articles they are the parents of two sons thomas and joshua,Wilma Kucharek,Wilma Kucharek,4,2,5,user6,p2
Jaclyn Smith,jacquelyn ellen jaclyn smith born october 26 1945 is an american actress and businesswoman she is best known as kelly garrett in the television series charlies angels and was the only original female lead to remain with the series for its complete run 197681 beginning in the 1980s she began developing and marketing her own brands of clothing and perfumesmith began her career in 1969 in television commercials and appeared in the 1970 film the adventurers in 1976 she was cast in charlies angels alongside kate jackson and farrah fawcett the show propelled all three to stardom including appearing on the front cover of time magazine in 1981 she starred in the title role of the tv movie jacqueline bouvier kennedy which earned her a best actress golden globe nomination she starred in numerous tv movies and miniseries over the next twenty years including rage of angels 1983 george washington 1984 kaleidoscope 1990 and nightmare in the daylight 1992 she also had leading roles in the films nightkill 1980 and dj vu 1985 from 200204 she had a recurring role in the drama series the district in 2003 she reprised her role of kelly garrett with a cameo appearance in the film charlies angels full throttle,Jaclyn Smith,Jaclyn Smith,3,6,1, user3,p2
